Dose	Response	Drug
0	105.876744553	Drug_A
0.000256	112.135470943	Drug_A
0.00128	99.6180181617	Drug_A
0.0064	105.347840774	Drug_A
0.032	73.7897569307	Drug_A
0.16	48.754870375	Drug_A
0.8	9.79211462585	Drug_A
4	6.0897691692	Drug_A
20	6.97128180246	Drug_A
0	105.964882511	Drug_A
0.000256	108.697577376	Drug_A
0.00128	103.232206653	Drug_A
0.0064	99.7061751273	Drug_A
0.032	92.918544958	Drug_A
0.16	48.6667134094	Drug_A
0.8	8.55799313779	Drug_A
4	6.17792613479	Drug_A
20	4.94380464673	Drug_A
0	88.1583729369	Drug_A
0.000256	88.775433681	Drug_A
0.00128	107.110847033	Drug_A
0.0064	106.758257186	Drug_A
0.032	77.7565542766	Drug_A
0.16	49.9008348975	Drug_A
0.8	10.0565665151	Drug_A
4	5.29641350154	Drug_A
20	6.35422105842	Drug_A
0	95.2533214195	Drug_B
0.000256	94.9122565913	Drug_B
0.00128	98.8346492049	Drug_B
0.0064	109.578632561	Drug_B
0.032	84.8504212775	Drug_B
0.16	46.2232574665	Drug_B
0.8	8.61934329867	Drug_B
4	4.44112448461	Drug_B
20	3.844233456	Drug_B
0	103.353932847	Drug_B
0.000256	105.997304776	Drug_B
0.00128	108.896466132	Drug_B
0.0064	96.0207448621	Drug_B
0.032	75.3854953786	Drug_B
0.16	34.5413182534	Drug_B
0.8	9.8131253559	Drug_B
4	5.80543895591	Drug_B
20	4.01478425631	Drug_B
0	101.392745733	Drug_B
0.000256	99.4315402335	Drug_B
0.00128	107.276343847	Drug_B
0.0064	98.7493738047	Drug_B
0.032	82.6334079634	Drug_B
0.16	42.7272050813	Drug_B
0.8	8.4488108846	Drug_B
4	4.10004127023	Drug_B
20	5.54963114169	Drug_B
0	114.134072265	Drug_C
0.000256	108.320860515	Drug_C
0.00128	110.543559668	Drug_C
0.0064	94.3862621966	Drug_C
0.032	102.251184897	Drug_C
0.16	101.225329422	Drug_C
0.8	83.0163209999	Drug_C
4	65.4057159833	Drug_C
20	1.88787567583	Drug_C
0	82.8453327984	Drug_C
0.000256	107.465993241	Drug_C
0.00128	103.618998342	Drug_C
0.0064	101.054359653	Drug_C
0.032	115.758349579	Drug_C
0.16	100.199473946	Drug_C
0.8	80.1952000092	Drug_C
4	80.2806941099	Drug_C
20	67.8848790044	Drug_C
0	103.020594937	Drug_C
0.000256	99.08812437	Drug_C
0.00128	105.157799988	Drug_C
0.0064	101.652781492	Drug_C
0.032	106.611107534	Drug_C
0.16	98.5751966323	Drug_C
0.8	83.8712067072	Drug_C
4	51.556593332	Drug_C
20	6.7607076173	Drug_C
