name	comm	eigen
ACTN1	1	0.349695269169527
BCAR1	1	0.562716625550714
IRS2	2	0.542333134631041
RHOA	1	0.942885855803242
MTOR	2	0.807827044689645
EGFR	3	0.893559062380675
CTNND1	1	0.420226110237319
RICTOR	2	0.595202513800992
MAP2K1	3	0.5030867791415
RPS6KA1	2	0.549241734112245
AKT1	2	0.932556209663447
GSK3B	2	0.7107266675116
IRS1	2	0.84868010596445
PDPK1	2	0.614506566861407
RPS6KA3	2	0.59534780967592
MAPK3	2	0.754527297861333
MAP2K2	3	0.43611031012532
RPS6	2	0.570156577125051
PRKAA1	2	0.354034571127647
CTNNA1	1	0.311877004795239
PIK3CA	1	1
TLN1	1	0.413484396650162
CRKL	1	0.47411502894468
PAK1	3	0.500272175963401
PTK2	1	0.651090240725436
YES1	3	0.712783942219901
YBX1	2	0.245959988078627
INSR	2	0.668781240184132
MLLT4	1	0.151620413017375
MET	1	0.564623735617989
PRKAR2A	2	0.415307513504583
PTPRF	2	0.191293439763139
MAP3K7	2	0.117880575733305
WASL	1	0.341016826070521
KRAS	3	0.890229864351203
PAK4	3	0.41891960509718
CALM1	3	0.143291110376319
FER	3	0.181192910686078
PARD3	1	0.0988808203255732
ACACA	2	0.220961653515633
FLOT1	3	0.0387793432931293
PPP1R12A	1	0.145636922220761
PTPRM	3	0.0465893829148682
MAPK1	2	0.839437490786095
VCL	1	0.451742951051325
EIF4B	2	0.264545553700126
